loc,entity,risk_score,complexity,revisions,risk_factor
158,packages/react-devtools-shared/src/devtools/views/Settings/SettingsShared.css,1.64,3,3,medium
1958,packages/react-reconciler/src/__tests__/ReactHooks-test.internal.js,1.64,3,2,medium
20,packages/react-reconciler/src/ReactFiberShellHydration.js,1.63,4,4,medium
334,packages/scheduler/src/__tests__/SchedulerPostTask-test.js,1.62,5,2,medium
136,packages/react-devtools/README.md,1.62,3,3,medium
333,packages/react-devtools-shared/src/backend/views/Highlighter/Overlay.js,1.62,5,2,medium
301,packages/react-server/src/ReactFizzNewContext.js,1.62,2,3,medium
1616,packages/react-reconciler/src/__tests__/ReactLazy-test.internal.js,1.62,3,2,medium
133,scripts/circleci/download_devtools_regression_build.js,1.62,3,3,medium
740,packages/react-reconciler/src/ReactFiberClassUpdateQueue.old.js,1.61,1,3,medium
647,packages/react-dom/src/__tests__/ReactDOMFiberAsync-test.js,1.61,4,2,medium
64,packages/react-server-dom-webpack/package.json,1.60,2,4,medium
264,packages/react-devtools-timeline/src/content-views/constants.js,1.60,2,3,medium
119,scripts/merge-fork/replace-fork.js,1.60,3,3,medium
261,packages/react-devtools-timeline/src/content-views/SnapshotsView.js,1.60,2,3,medium
60,packages/react-devtools-shared/src/hooks/parseHookNames/index.js,1.60,4,3,medium
587,scripts/devtools/yarn.lock,1.59,4,2,medium
59,packages/react-reconciler/src/ReactFiberAct.old.js,1.59,4,3,medium
49,packages/react-art/package.json,1.58,1,5,medium
109,packages/react-server-dom-relay/src/ReactDOMServerFB.js,1.58,3,3,medium
249,packages/scheduler/src/forks/SchedulerPostTask.js,1.57,5,2,medium
1161,packages/react-devtools-shared/src/__tests__/editing-test.js,1.57,3,2,medium
29,packages/react-devtools-shared/package.json,1.57,5,3,medium
99,packages/use-sync-external-store/src/__tests__/useSyncExternalStoreShimServer-test.js,1.57,3,3,medium
234,scripts/flow/react-native-host-hooks.js,1.56,5,2,medium
474,packages/react-reconciler/src/__tests__/ReactScope-test.internal.js,1.56,4,2,medium
2823,packages/react-dom/src/__tests__/ReactDOMComponent-test.js,1.56,2,2,medium
1027,packages/react-devtools-shared/src/devtools/views/Components/TreeContext.js,1.55,3,2,medium
105,packages/react-devtools-core/webpack.backend.js,1.55,1,4,medium
971,packages/react-dom/src/events/DOMPluginEventSystem.js,1.55,3,2,medium
102,packages/react-devtools-shared/src/devtools/views/Profiler/SidebarEventInfo.js,1.54,1,4,medium
910,packages/react-devtools-shared/src/__tests__/legacy/storeLegacy-v15-test.js,1.54,3,2,medium
398,packages/react-dom/src/__tests__/ReactDOMNativeEventHeuristic-test.js,1.54,4,2,medium
190,packages/react-server/src/ReactServerStreamConfigNode.js,1.53,5,2,medium
185,packages/react-devtools-shared/src/devtools/views/Icon.js,1.53,5,2,medium
166,packages/react-devtools-extensions/build.js,1.53,2,3,medium
362,packages/react-reconciler/src/__tests__/ReactActWarnings-test.js,1.52,4,2,medium
177,packages/react-reconciler/src/__tests__/useSyncExternalStore-test.js,1.52,5,2,medium
780,packages/scheduler/src/__tests__/SchedulerMock-test.js,1.52,3,2,medium
344,packages/react/src/ReactChildren.js,1.52,4,2,medium
73,scripts/error-codes/__tests__/__snapshots__/transform-error-messages.js.snap,1.51,3,3,medium
338,packages/react-devtools-timeline/src/content-views/NetworkMeasuresView.js,1.51,4,2,medium
751,packages/react-reconciler/src/__tests__/ReactMemo-test.js,1.51,3,2,medium
33,packages/jest-react/package.json,1.51,1,5,medium
334,packages/shared/ReactComponentStackFrame.js,1.51,4,2,medium
11,packages/react-devtools-shared/src/devtools/views/root.css,1.51,4,4,medium
156,packages/shared/CheckStringCoercion.js,1.50,5,2,medium
153,packages/react-reconciler/src/ReactFiberSuspenseContext.new.js,1.50,5,2,medium
151,packages/react-devtools-shared/src/__tests__/transform-react-version-pragma-test.js,1.50,5,2,medium
1,scripts/merge-fork/forked-revisions,1.50,3,9,medium
